id	liczba_mandatow	siedziba_okw
1	12	Legnica
2	8	Wałbrzych
3	14	Wrocław
4	12	Bydgoszcz
5	13	Toruń
6	15	Lublin
7	12	Chełm
8	12	Zielona Góra
9	10	Łódź
10	9	Piotrków Trybunalski
11	12	Sieradz
12	8	Kraków
13	14	Kraków
14	10	Nowy Sącz
15	9	Tarnów
16	10	Płock
17	9	Radom
18	12	Siedlce
19	20	Warszawa
20	12	Warszawa
21	12	Opole
22	11	Krosno
23	15	Rzeszów
24	14	Białystok
25	12	Gdańsk
26	14	Słupsk
27	9	Bielsko-Biała
28	7	Częstochowa
29	9	Katowice
30	9	Bielsko-Biała
31	12	Katowice
32	9	Katowice
33	16	Kielce
34	8	Elbląg
35	10	Olsztyn
36	12	Kalisz
37	9	Konin
38	9	Piła
39	10	Poznań
40	8	Koszalin
41	12	Szczecin
